generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
79	10000	1	0.000004	0.102171	0.000000
80	10000	1	0.000005	0.102171	0.000000
81	10000	1	0.000005	0.102171	0.000000
82	10000	1	0.000007	0.102171	0.000000
83	10000	1	0.000007	0.102171	0.000000
84	10000	2	0.000009	0.204342	0.000000
85	10000	2	0.000009	0.204342	0.000000
86	10000	2	0.000008	0.204342	0.000000
87	10000	2	0.000007	0.204342	0.000000
88	10000	2	0.000005	0.204342	0.000000
89	10000	1	0.000004	0.102171	0.000000
90	10000	1	0.000003	0.102171	0.000000
91	10000	1	0.000004	0.102171	0.000000
92	10000	1	0.000004	0.102171	0.000000
93	10000	1	0.000004	0.102171	0.000000
94	10000	1	0.000004	0.102171	0.000000
95	10000	1	0.000004	0.102171	0.000000
96	10000	1	0.000005	0.102171	0.000000
97	10000	1	0.000005	0.102171	0.000000
98	10000	1	0.000005	0.102171	0.000000
99	10000	1	0.000004	0.102171	0.000000
100	10000	1	0.000004	0.102171	0.000000
101	10000	1	0.000003	0.102171	0.000000
102	10000	1	0.000002	0.102171	0.000000
103	10000	1	0.000002	0.102171	0.000000
104	10000	1	0.000002	0.102171	0.000000
105	10000	1	0.000002	0.102171	0.000000
106	10000	1	0.000002	0.102171	0.000000
107	10000	1	0.000002	0.102171	0.000000
108	10000	1	0.000001	0.102171	0.000000
109	10000	1	0.000000	0.102171	0.000000
110	10000	1	0.000000	0.102171	0.000000
111	10000	1	0.000001	0.102171	0.000000
112	10000	1	0.000000	0.102171	0.000000
113	10000	1	0.000000	0.102171	0.000000
114	10000	1	0.000000	0.102171	0.000000
115	10000	1	0.000000	0.102171	0.000000
116	10000	1	0.000001	0.102171	0.000000
117	10000	1	0.000000	0.102171	0.000000
118	10000	1	0.000000	0.102171	0.000000
119	10000	1	0.000001	0.102171	0.000000
120	10000	1	0.000000	0.102171	0.000000
121	10000	1	0.000000	0.102171	0.000000
122	10000	1	0.000000	0.102171	0.000000
123	10000	1	0.000000	0.102171	0.000000
124	10000	1	0.000000	0.102171	0.000000
125	10000	1	0.000000	0.102171	0.000000
126	10000	1	0.000000	0.102171	0.000000
127	10000	1	0.000001	0.102171	0.000000
128	10000	1	0.000000	0.102171	0.000000
129	10000	1	0.000000	0.102171	0.000000
130	10000	1	0.000000	0.102171	0.000000
131	10000	0	0.000000	0.000000	0.000000
132	10000	0	0.000000	0.000000	0.000000
133	10000	0	0.000000	0.000000	0.000000
134	10000	0	0.000000	0.000000	0.000000
135	10000	0	0.000000	0.000000	0.000000
136	10000	0	0.000000	0.000000	0.000000
137	10000	0	0.000000	0.000000	0.000000
138	10000	0	0.000000	0.000000	0.000000
139	10000	0	0.000000	0.000000	0.000000
140	10000	0	0.000000	0.000000	0.000000
141	10000	0	0.000000	0.000000	0.000000
142	10000	1	0.000000	0.102171	0.000000
143	10000	1	0.000000	0.102171	0.000000
144	10000	1	0.000001	0.102171	0.000000
145	10000	1	0.000001	0.102171	0.000000
146	10000	1	0.000001	0.102171	0.000000
147	10000	1	0.000001	0.102171	0.000000
148	10000	1	0.000000	0.102171	0.000000
149	10000	1	0.000000	0.102171	0.000000
150	10000	0	0.000000	0.000000	0.000000
151	10000	0	0.000000	0.000000	0.000000
152	10000	0	0.000000	0.000000	0.000000
153	10000	0	0.000000	0.000000	0.000000
154	10000	0	0.000000	0.000000	0.000000
155	10000	0	0.000000	0.000000	0.000000
156	10000	0	0.000000	0.000000	0.000000
157	10000	0	0.000000	0.000000	0.000000
158	10000	0	0.000000	0.000000	0.000000
159	10000	0	0.000000	0.000000	0.000000
160	10000	0	0.000000	0.000000	0.000000
161	10000	0	0.000000	0.000000	0.000000
162	10000	0	0.000000	0.000000	0.000000
163	10000	0	0.000000	0.000000	0.000000
164	10000	0	0.000000	0.000000	0.000000
165	10000	0	0.000000	0.000000	0.000000
166	10000	0	0.000000	0.000000	0.000000
167	10000	0	0.000000	0.000000	0.000000
168	10000	0	0.000000	0.000000	0.000000
169	10000	0	0.000000	0.000000	0.000000
170	10000	0	0.000000	0.000000	0.000000
171	10000	0	0.000000	0.000000	0.000000
172	10000	0	0.000000	0.000000	0.000000
173	10000	0	0.000000	0.000000	0.000000
174	10000	0	0.000000	0.000000	0.000000
175	10000	0	0.000000	0.000000	0.000000
176	10000	0	0.000000	0.000000	0.000000
177	10000	0	0.000000	0.000000	0.000000
178	10000	0	0.000000	0.000000	0.000000
179	10000	1	0.000000	0.102171	0.000000
180	10000	1	0.000000	0.102171	0.000000
181	10000	1	0.000001	0.102171	0.000000
182	10000	1	0.000001	0.102171	0.000000
183	10000	1	0.000001	0.102171	0.000000
184	10000	1	0.000001	0.102171	0.000000
185	10000	1	0.000000	0.102171	0.000000
186	10000	0	0.000000	0.000000	0.000000
187	10000	0	0.000000	0.000000	0.000000
188	10000	0	0.000000	0.000000	0.000000
189	10000	0	0.000000	0.000000	0.000000
190	10000	0	0.000000	0.000000	0.000000
191	10000	1	0.000000	0.102171	0.000000
192	10000	1	0.000000	0.102171	0.000000
193	10000	1	0.000001	0.102171	0.000000
194	10000	1	0.000001	0.102171	0.000000
195	10000	1	0.000000	0.102171	0.000000
196	10000	1	0.000001	0.102171	0.000000
197	10000	1	0.000000	0.102171	0.000000
198	10000	1	0.000000	0.102171	0.000000
199	10000	1	0.000000	0.102171	0.000000
200	100	1	0.000039	0.193148	0.000000
201	100	1	0.000058	0.193148	0.000000
202	100	1	0.000039	0.193148	0.000000
203	100	1	0.000058	0.193148	0.000000
204	100	1	0.000020	0.193148	0.000000
205	100	1	0.000020	0.193148	0.000000
206	100	1	0.000039	0.193148	0.000000
207	100	1	0.000077	0.193148	0.000000
208	100	1	0.000039	0.193148	0.000000
209	100	0	0.000000	0.000000	0.000000
210	100	0	0.000000	0.000000	0.000000
211	100	0	0.000000	0.000000	0.000000
212	100	0	0.000000	0.000000	0.000000
213	100	0	0.000000	0.000000	0.000000
214	100	0	0.000000	0.000000	0.000000
215	100	0	0.000000	0.000000	0.000000
216	100	0	0.000000	0.000000	0.000000
217	100	0	0.000000	0.000000	0.000000
218	100	0	0.000000	0.000000	0.000000
219	100	0	0.000000	0.000000	0.000000
220	100	0	0.000000	0.000000	0.000000
221	100	0	0.000000	0.000000	0.000000
222	100	0	0.000000	0.000000	0.000000
223	100	0	0.000000	0.000000	0.000000
224	100	0	0.000000	0.000000	0.000000
225	100	0	0.000000	0.000000	0.000000
226	100	0	0.000000	0.000000	0.000000
227	100	0	0.000000	0.000000	0.000000
228	100	0	0.000000	0.000000	0.000000
229	100	0	0.000000	0.000000	0.000000
230	100	0	0.000000	0.000000	0.000000
231	100	0	0.000000	0.000000	0.000000
232	100	0	0.000000	0.000000	0.000000
233	100	0	0.000000	0.000000	0.000000
234	100	0	0.000000	0.000000	0.000000
235	100	0	0.000000	0.000000	0.000000
236	100	0	0.000000	0.000000	0.000000
237	100	0	0.000000	0.000000	0.000000
238	100	0	0.000000	0.000000	0.000000
239	100	0	0.000000	0.000000	0.000000
240	100	0	0.000000	0.000000	0.000000
241	100	0	0.000000	0.000000	0.000000
242	100	0	0.000000	0.000000	0.000000
243	100	0	0.000000	0.000000	0.000000
244	100	0	0.000000	0.000000	0.000000
245	100	0	0.000000	0.000000	0.000000
246	100	0	0.000000	0.000000	0.000000
247	100	0	0.000000	0.000000	0.000000
248	100	0	0.000000	0.000000	0.000000
249	100	0	0.000000	0.000000	0.000000
250	100	0	0.000000	0.000000	0.000000
251	100	0	0.000000	0.000000	0.000000
252	100	0	0.000000	0.000000	0.000000
253	100	0	0.000000	0.000000	0.000000
254	100	0	0.000000	0.000000	0.000000
255	100	0	0.000000	0.000000	0.000000
256	100	0	0.000000	0.000000	0.000000
257	100	0	0.000000	0.000000	0.000000
258	100	0	0.000000	0.000000	0.000000
259	100	0	0.000000	0.000000	0.000000
260	10000	2	0.000000	0.204342	0.000000
261	10000	2	0.000001	0.204342	0.000000
262	10000	3	0.000001	0.306513	0.000000
263	10000	2	0.000001	0.204342	0.000000
264	10000	3	0.000002	0.306513	0.000000
265	10000	3	0.000003	0.306513	0.000000
266	10000	3	0.000003	0.306513	0.000000
267	10000	3	0.000002	0.306513	0.000000
268	10000	2	0.000002	0.204342	0.000000
269	10000	2	0.000003	0.204342	0.000000
270	10000	2	0.000003	0.204342	0.000000
271	10000	2	0.000003	0.204342	0.000000
272	10000	2	0.000004	0.204342	0.000000
273	10000	2	0.000004	0.204342	0.000000
274	10000	2	0.000004	0.204342	0.000000
275	10000	2	0.000003	0.204342	0.000000
276	10000	2	0.000003	0.204342	0.000000
277	10000	2	0.000002	0.204342	0.000000
278	10000	2	0.000003	0.204342	0.000000
279	10000	1	0.000003	0.102171	0.000000
280	10000	1	0.000002	0.102171	0.000000
281	10000	1	0.000002	0.102171	0.000000
282	10000	1	0.000002	0.102171	0.000000
283	10000	1	0.000002	0.102171	0.000000
284	10000	1	0.000002	0.102171	0.000000
285	10000	1	0.000001	0.102171	0.000000
286	10000	1	0.000001	0.102171	0.000000
287	10000	2	0.000001	0.204342	0.000000
288	10000	2	0.000001	0.204342	0.000000
289	10000	2	0.000001	0.204342	0.000000
290	10000	2	0.000001	0.204342	0.000000
291	10000	2	0.000002	0.204342	0.000000
292	10000	2	0.000001	0.204342	0.000000
293	10000	2	0.000001	0.204342	0.000000
294	10000	2	0.000002	0.204342	0.000000
295	10000	2	0.000001	0.204342	0.000000
296	10000	2	0.000001	0.204342	0.000000
297	10000	1	0.000001	0.102171	0.000000
298	10000	1	0.000000	0.102171	0.000000
299	10000	1	0.000000	0.102171	0.000000
300	10000	1	0.000000	0.102171	0.000000
301	10000	0	0.000000	0.000000	0.000000
302	10000	0	0.000000	0.000000	0.000000
303	10000	0	0.000000	0.000000	0.000000
304	10000	0	0.000000	0.000000	0.000000
305	10000	0	0.000000	0.000000	0.000000
306	10000	0	0.000000	0.000000	0.000000
307	10000	0	0.000000	0.000000	0.000000
308	10000	0	0.000000	0.000000	0.000000
309	10000	0	0.000000	0.000000	0.000000
310	10000	0	0.000000	0.000000	0.000000
311	10000	0	0.000000	0.000000	0.000000
312	10000	0	0.000000	0.000000	0.000000
313	10000	0	0.000000	0.000000	0.000000
314	10000	0	0.000000	0.000000	0.000000
315	10000	0	0.000000	0.000000	0.000000
316	10000	0	0.000000	0.000000	0.000000
317	10000	0	0.000000	0.000000	0.000000
318	10000	0	0.000000	0.000000	0.000000
319	10000	0	0.000000	0.000000	0.000000
320	10000	0	0.000000	0.000000	0.000000
321	10000	0	0.000000	0.000000	0.000000
322	10000	0	0.000000	0.000000	0.000000
323	10000	0	0.000000	0.000000	0.000000
324	10000	0	0.000000	0.000000	0.000000
325	10000	0	0.000000	0.000000	0.000000
326	10000	0	0.000000	0.000000	0.000000
327	10000	0	0.000000	0.000000	0.000000
328	10000	0	0.000000	0.000000	0.000000
329	10000	0	0.000000	0.000000	0.000000
330	10000	0	0.000000	0.000000	0.000000
331	10000	0	0.000000	0.000000	0.000000
332	10000	0	0.000000	0.000000	0.000000
333	10000	0	0.000000	0.000000	0.000000
334	10000	0	0.000000	0.000000	0.000000
335	10000	0	0.000000	0.000000	0.000000
336	10000	0	0.000000	0.000000	0.000000
337	10000	0	0.000000	0.000000	0.000000
338	10000	0	0.000000	0.000000	0.000000
339	10000	0	0.000000	0.000000	0.000000
340	10000	0	0.000000	0.000000	0.000000
341	10000	0	0.000000	0.000000	0.000000
342	10000	0	0.000000	0.000000	0.000000
343	10000	0	0.000000	0.000000	0.000000
344	10000	0	0.000000	0.000000	0.000000
345	10000	0	0.000000	0.000000	0.000000
346	10000	0	0.000000	0.000000	0.000000
347	10000	0	0.000000	0.000000	0.000000
348	10000	0	0.000000	0.000000	0.000000
349	10000	0	0.000000	0.000000	0.000000
350	10000	0	0.000000	0.000000	0.000000
351	10000	0	0.000000	0.000000	0.000000
352	10000	0	0.000000	0.000000	0.000000
353	10000	0	0.000000	0.000000	0.000000
354	10000	0	0.000000	0.000000	0.000000
355	10000	0	0.000000	0.000000	0.000000
356	10000	0	0.000000	0.000000	0.000000
357	10000	0	0.000000	0.000000	0.000000
358	10000	0	0.000000	0.000000	0.000000
359	10000	0	0.000000	0.000000	0.000000
360	10000	0	0.000000	0.000000	0.000000
361	10000	0	0.000000	0.000000	0.000000
362	10000	0	0.000000	0.000000	0.000000
363	10000	0	0.000000	0.000000	0.000000
364	10000	0	0.000000	0.000000	0.000000
365	10000	0	0.000000	0.000000	0.000000
366	10000	0	0.000000	0.000000	0.000000
367	10000	0	0.000000	0.000000	0.000000
368	10000	0	0.000000	0.000000	0.000000
369	10000	0	0.000000	0.000000	0.000000
370	10000	0	0.000000	0.000000	0.000000
371	10000	0	0.000000	0.000000	0.000000
372	10000	0	0.000000	0.000000	0.000000
373	10000	0	0.000000	0.000000	0.000000
374	10000	0	0.000000	0.000000	0.000000
375	10000	0	0.000000	0.000000	0.000000
376	10000	0	0.000000	0.000000	0.000000
377	10000	0	0.000000	0.000000	0.000000
378	10000	0	0.000000	0.000000	0.000000
379	10000	0	0.000000	0.000000	0.000000
380	10000	0	0.000000	0.000000	0.000000
381	10000	0	0.000000	0.000000	0.000000
382	10000	0	0.000000	0.000000	0.000000
383	10000	0	0.000000	0.000000	0.000000
384	10000	0	0.000000	0.000000	0.000000
385	10000	0	0.000000	0.000000	0.000000
386	10000	0	0.000000	0.000000	0.000000
387	10000	0	0.000000	0.000000	0.000000
388	10000	0	0.000000	0.000000	0.000000
389	10000	1	0.000001	0.102171	0.000000
390	10000	1	0.000001	0.102171	0.000000
391	10000	1	0.000001	0.102171	0.000000
392	10000	1	0.000001	0.102171	0.000000
393	10000	1	0.000000	0.102171	0.000000
394	10000	1	0.000001	0.102171	0.000000
395	10000	1	0.000002	0.102171	0.000000
